step;virtual;physical
1422;2596;1908
1423;2596;1908
1424;2596;1908
1425;2596;1908
1426;2596;1908
1427;2596;1908
1428;2594;1907
1429;2594;1907
1430;2594;1907
1431;2595;1907
1432;2595;1907
1433;2595;1907
1434;2596;1908
1435;2596;1908
1436;2594;1907
1437;2594;1907
1438;2594;1907
1439;2595;1908
1440;2595;1908
1441;2596;1909
1442;2596;1909
1443;2596;1909
1444;2596;1908
1445;2596;1908
1446;2596;1908
1447;2596;1908
1448;2596;1908
1449;2596;1908
1450;2595;1908
1451;2595;1908
1452;2595;1908
1453;2595;1908
1454;2595;1908
1455;2595;1908
1456;2596;1908
1457;2596;1908
1458;2595;1907
1459;2595;1908
1460;2595;1908
1461;2596;1908
1462;2596;1908
1463;2596;1908
1464;2596;1908
1465;2596;1908
1466;2596;1908
1467;2596;1908
1468;2594;1907
1469;2594;1907
1470;2595;1907
1471;2595;1908
1472;2595;1908
1473;2595;1908
1474;2596;1908
1475;2595;1907
1476;2595;1907
1477;2595;1908
1478;2596;1908
1479;2596;1908
1480;2596;1908
1481;2596;1908
1482;2596;1908
1483;2596;1908
1484;2596;1908
1485;2596;1908
1486;2595;1908
1487;2595;1908
1488;2596;1908
1489;2596;1908
1490;2596;1908
1491;2596;1908
1492;2596;1908
1493;2596;1908
1494;2596;1908
1495;2596;1908
1496;2596;1908
1497;2595;1908
1498;2595;1908
1499;2595;1908
1500;2595;1908
1501;2595;1908
1502;2595;1908
1503;2595;1908
1504;2595;1907
1505;2595;1907
1506;2595;1907
1507;2596;1908
1508;2594;1907
1509;2594;1907
1510;2595;1907
1511;2595;1907
1512;2595;1907
1513;2595;1907
1514;2594;1906
1515;2594;1907
1516;2595;1907
1517;2595;1908
1518;2595;1908
1519;2596;1908
1520;2596;1908
1521;2596;1908
1522;2595;1907
1523;2595;1907
1524;2595;1907
1525;2595;1907
1526;2595;1907
1527;2595;1907
1528;2595;1907
1529;2595;1907
1530;2595;1907
1531;2595;1908
1532;2596;1908
1533;2595;1907
1534;2595;1907
1535;2595;1907
1536;2595;1907
1537;2595;1907
1538;2595;1907
1539;2595;1907
1540;2595;1907
1541;2595;1907
1542;2596;1908
1543;2596;1908
1544;2596;1908
1545;2596;1908
1546;2596;1908
1547;2596;1908
1548;2595;1908
1549;2595;1908
1550;2595;1908
1551;2595;1908
1552;2594;1907
1553;2595;1907
1554;2595;1907
1555;2595;1908
1556;2596;1908
1557;2596;1908
1558;2596;1908
1559;2596;1908
1560;2596;1908
1561;2596;1908
1562;2596;1908
1563;2596;1908
1564;2596;1908
1565;2594;1907
1566;2594;1907
1567;2595;1908
1568;2596;1909
1569;2596;1909
1570;2596;1909
1571;2596;1909
1572;2596;1909
1573;2596;1909
1574;2596;1909
1575;2596;1909
1576;2596;1909
1577;2596;1909
1578;2596;1909
1579;2596;1909
1580;2596;1908
1581;2596;1908
1582;2596;1908
1583;2596;1908
1584;2596;1908
